fight_id,date,fighter_A,fighter_B,winner,A_age,B_age,A_height,B_height,A_reach,B_reach,A_SLpM,A_SApM,A_TdAvg,A_SubAvg,B_SLpM,B_SApM,B_TdAvg,B_SubAvg
1,2021-01-23,Dustin Poirier,Conor McGregor,A,31,32,70,69,72,74,5.59,4.25,1.46,1.3,5.32,4.43,0.75,0.2
2,2021-03-06,Jan Blachowicz,Israel Adesanya,A,38,31,74,76,78,80,3.59,2.79,1.16,0.2,3.94,2.57,0.18,0.2
3,2021-03-27,Francis Ngannou,Stipe Miocic,A,34,38,76,76,83,80,2.23,2.16,0.24,0.1,4.77,3.75,1.86,0.0
4,2021-04-24,Kamaru Usman,Jorge Masvidal,A,33,36,72,71,76,74,4.5,2.33,3.0,0.2,4.33,3.02,0.9,0.4
5,2021-06-12,Israel Adesanya,Marvin Vettori,A,31,27,76,72,80,74,3.94,2.57,0.18,0.2,4.17,3.04,2.22,0.8
6,2021-07-10,Dustin Poirier,Conor McGregor,A,32,32,70,69,72,74,5.59,4.25,1.46,1.3,5.32,4.43,0.75,0.2
7,2021-08-07,Ciryl Gane,Derrick Lewis,A,31,36,77,75,81,79,5.37,2.25,0.66,0.6,2.54,2.16,0.6,0.0
8,2021-09-25,Alexander Volkanovski,Brian Ortega,A,32,30,66,68,71,69,6.42,3.27,1.77,0.7,4.29,3.05,0.8,1.2
9,2021-10-30,Glover Teixeira,Jan Blachowicz,A,42,38,74,74,76,78,3.75,3.83,2.11,2.0,3.59,2.79,1.16,0.2
10,2021-12-11,Charles Oliveira,Dustin Poirier,A,32,32,70,70,74,72,3.44,3.22,2.64,2.8,5.59,4.25,1.46,1.3
